Request_date	Request_URL
Sat, 14 May 2022 18:43:09 GMT	https://en.wikipedia.org/wiki/List_of_2020_Summer_Olympics_medal_winners
Sat, 14 May 2022 18:43:10 GMT	https://en.wikipedia.org/wiki/List_of_2022_Winter_Olympics_medal_winners
Fri, 13 May 2022 23:37:27 GMT	https://en.wikipedia.org/wiki/List_of_LGBT_Olympians
